seq,phase,data_mode,function,runtime,variant,memory_mb,role,pattern,warming,intended_cold,force_cold,rep,block,burst_id,idle_gap_min,t_start,t_start_utc,request_id,status,function_error,error,rtt_ms,duration_ms,billed_ms,init_ms,cold,max_memory_used_mb,report_source
76,package_size,live,java-optimised,java,optimised,1024,measure,idle,off,True,update_env,6,,,,1790076963.727,2026-09-22T11:36:03.726+00:00,de967619-93b7-4b36-a960-7d0fdaf648b2,200,,False,832.515,121.0,543,421.46,True,107,logs
77,package_size,live,java-optimised,java,optimised,1024,follow_up,idle,off,False,update_env,6,,,,1790076964.561,2026-09-22T11:36:04.560+00:00,232c41b1-3032-4941-ae61-5ffeead389b7,200,,False,215.254,36.96,37,,False,107,logs
78,package_size,live,python-default,python,default,1024,measure,idle,off,True,update_env,6,,,,1790076966.93,2026-09-22T11:36:06.929+00:00,c37069e5-4fa2-4e02-8352-d769c6aa935f,200,,False,4108.731,23.72,3632,3607.45,True,134,logs
79,package_size,live,python-default,python,default,1024,follow_up,idle,off,False,update_env,6,,,,1790076971.04,2026-09-22T11:36:11.039+00:00,50d4441e-e3a0-4d70-b73d-27087f3f8528,200,,False,197.315,17.79,18,,False,134,logs
80,package_size,live,java-default,java,default,1024,measure,idle,off,True,update_env,6,,,,1790076973.361,2026-09-22T11:36:13.360+00:00,34aab0ab-a752-4d76-b267-2686607e059e,200,,False,1250.352,132.55,905,772.06,True,121,logs
81,package_size,live,java-default,java,default,1024,follow_up,idle,off,False,update_env,6,,,,1790076974.612,2026-09-22T11:36:14.611+00:00,682c1bef-acc1-414d-a1bc-5f2760c3b524,200,,False,213.364,36.53,37,,False,121,logs
82,package_size,live,nodejs-optimised,nodejs,optimised,1024,measure,idle,off,True,update_env,6,,,,1790076976.892,2026-09-22T11:36:16.892+00:00,64130d78-c35f-4a79-9e9a-bb018436b535,200,,False,672.761,228.41,376,146.92,True,79,logs
83,package_size,live,nodejs-optimised,nodejs,optimised,1024,follow_up,idle,off,False,update_env,6,,,,1790076977.568,2026-09-22T11:36:17.567+00:00,3b5dbff6-ec3b-4fbb-9d17-e8a580852885,200,,False,292.956,114.02,115,,False,79,logs
84,package_size,live,nodejs-default,nodejs,default,1024,measure,idle,off,True,update_env,7,,,,1790076980.019,2026-09-22T11:36:20.018+00:00,de7472f1-912e-4804-921d-fbac4d333459,200,,False,1501.692,197.37,1075,877.39,True,126,logs
85,package_size,live,nodejs-default,nodejs,default,1024,follow_up,idle,off,False,update_env,7,,,,1790076981.522,2026-09-22T11:36:21.522+00:00,65e85a13-280d-4913-bb71-4b576c9198e1,200,,False,306.875,131.98,132,,False,135,logs
86,package_size,live,python-default,python,default,1024,measure,idle,off,True,update_env,7,,,,1790076983.966,2026-09-22T11:36:23.966+00:00,2edd5260-900a-4717-88f6-43d01ae9334d,200,,False,3979.507,27.75,3553,3525.07,True,132,logs
