seq,phase,data_mode,function,runtime,variant,memory_mb,role,pattern,warming,intended_cold,force_cold,rep,block,burst_id,idle_gap_min,t_start,t_start_utc,request_id,status,function_error,error,rtt_ms,duration_ms,billed_ms,init_ms,cold,max_memory_used_mb,report_source
31.0,live_python_init,live,python-default,python,default,1024,follow_up,idle,off,False,update_env,5.0,,,,1789900059.885,2026-09-20T10:27:39.885+00:00,cdca7f05-ac0d-44c0-8216-71cd48b798d9,200,,False,193.421,19.61,20,,False,132,logs
32.0,live_python_init,live,python-bytecode,python,bytecode,1024,measure,idle,off,True,update_env,5.0,,,,1789900062.22,2026-09-20T10:27:42.220+00:00,71406e4b-bdab-409b-80d2-13c97ee363ec,200,Unhandled,True,737.754,113.4,114,,False,47,logs
33.0,live_python_init,live,python-bytecode,python,bytecode,1024,follow_up,idle,off,False,update_env,5.0,,,,1789900062.96,2026-09-20T10:27:42.959+00:00,fc19ef2f-262b-40d3-bade-4798ba25ddab,200,Unhandled,True,376.059,155.03,156,,False,47,logs
34.0,live_python_init,live,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,5.0,,,,1789900065.521,2026-09-20T10:27:45.521+00:00,47b24460-ca73-4949-a0da-9942be5393aa,200,,False,435.88,18.48,110,90.84,True,41,logs
35.0,live_python_init,live,python-optimised,python,optimised,1024,follow_up,idle,off,False,update_env,5.0,,,,1789900065.958,2026-09-20T10:27:45.957+00:00,8f574786-4e33-4efd-bac9-9bfd03c8c96d,200,,False,203.808,18.18,19,,False,41,logs
36.0,live_python_init,live,python-default,python,default,1024,measure,idle,off,True,update_env,6.0,,,,1789900068.29,2026-09-20T10:27:48.290+00:00,78984e70-6fd8-4db4-8700-c65a01b92fae,200,,False,3804.837,28.84,3385,3355.99,True,132,logs
37.0,live_python_init,live,python-default,python,default,1024,follow_up,idle,off,False,update_env,6.0,,,,1789900072.098,2026-09-20T10:27:52.097+00:00,1e100e98-56c1-46c3-ab9e-73fb102aeb5f,200,,False,198.418,16.51,17,,False,132,logs
38.0,live_python_init,live,python-bytecode,python,bytecode,1024,measure,idle,off,True,update_env,6.0,,,,1789900074.369,2026-09-20T10:27:54.369+00:00,c68414eb-bc55-47a3-a292-c8c84577bb2f,200,Unhandled,True,636.963,109.08,110,,False,47,logs
39.0,live_python_init,live,python-bytecode,python,bytecode,1024,follow_up,idle,off,False,update_env,6.0,,,,1789900075.007,2026-09-20T10:27:55.007+00:00,4fb2fcb9-294c-4bfa-b4d7-111520104268,200,Unhandled,True,286.809,103.83,104,,False,47,logs
40.0,live_python_init,live,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,6.0,,,,1789900077.496,2026-09-20T10:27:57.495+00:00,59a3e4e2-1557-4d26-880e-10e754678544,200,,False,385.613,29.37,102,72.21,True,41,logs
41.0,live_python_init,live,python-optimised,python,optimised,1024,follow_up,idle,off,False,update_env,6.0,,,,1789900077.886,2026-09-20T10:27:57.885+00:00,33ae553b-5451-479e-bc44-b80cd28cb7d2,200,,False,193.14,14.99,15,,False,41,logs
42.0,live_python_init,live,python-default,python,default,1024,measure,idle,off,True,update_env,7.0,,,,1789900080.156,2026-09-20T10:28:00.156+00:00,1710077e-8a09-4396-b262-eddf3970cc42,200,,False,3142.354,12.33,2743,2730.57,True,132,logs
43.0,live_python_init,live,python-default,python,default,1024,follow_up,idle,off,False,update_env,7.0,,,,1789900083.3,2026-09-20T10:28:03.299+00:00,a05a93f3-350e-4ac8-8b1f-96818584bd19,200,,False,200.88,18.55,19,,False,132,logs
44.0,live_python_init,live,python-bytecode,python,bytecode,1024,measure,idle,off,True,update_env,7.0,,,,1789900085.689,2026-09-20T10:28:05.689+00:00,1d03dd08-7e52-48b0-b1fc-b2db05cc7d1a,200,Unhandled,True,615.99,106.58,107,,False,47,logs
45.0,live_python_init,live,python-bytecode,python,bytecode,1024,follow_up,idle,off,False,update_env,7.0,,,,1789900086.306,2026-09-20T10:28:06.306+00:00,e49b4cea-cf01-49d8-b3f3-da0d8fb59855,200,Unhandled,True,296.066,112.81,113,,False,47,logs
46.0,live_python_init,live,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,7.0,,,,1789900088.739,2026-09-20T10:28:08.738+00:00,e7a95306-6351-4df4-983b-a9ee0b327bf6,200,,False,399.972,18.55,109,90.13,True,41,logs
47.0,live_python_init,live,python-optimised,python,optimised,1024,follow_up,idle,off,False,update_env,7.0,,,,1789900089.14,2026-09-20T10:28:09.140+00:00,049c7124-8410-4b9e-b17d-ab9d9a67f99c,200,,False,194.973,16.48,17,,False,41,logs
48.0,live_python_init,live,python-default,python,default,1024,measure,idle,off,True,update_env,8.0,,,,1789900091.445,2026-09-20T10:28:11.445+00:00,893fcd45-1de4-477e-a487-357b20f982ff,200,,False,3042.028,20.18,2696,2674.9,True,132,logs
49.0,live_python_init,live,python-default,python,default,1024,follow_up,idle,off,False,update_env,8.0,,,,1789900094.488,2026-09-20T10:28:14.488+00:00,1412b48e-fa57-492b-bae7-f114228b1a85,200,,False,198.109,18.13,19,,False,132,logs
50.0,live_python_init,live,python-bytecode,python,bytecode,1024,measure,idle,off,True,update_env,8.0,,,,1789900096.794,2026-09-20T10:28:16.793+00:00,8a1969bc-93bb-476d-b0a9-4a15865dc94d,200,Unhandled,True,512.332,82.95,83,,False,47,logs
51.0,live_python_init,live,python-bytecode,python,bytecode,1024,follow_up,idle,off,False,update_env,8.0,,,,1789900097.307,2026-09-20T10:28:17.307+00:00,7da342a2-77c5-4038-828e-6406a4dc9e8a,200,Unhandled,True,297.556,117.73,118,,False,47,logs
