time_s,cpu_cores_sum,mem_sum,n_machines,sample_note
45900,30.396468233333334,82.18426893333334,6.266666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
46200,33.133730199999995,86.56630946666668,5.933333333333334,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
46500,27.15990383333333,82.40260463333334,7.2,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
46800,30.555013233333334,83.82009266666667,6.8,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
47100,30.401625333333335,85.07110566666667,7.8,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
47400,31.646524466666666,83.96456633333334,8.233333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
47700,35.3282631,86.54481896666667,7.366666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
48000,31.7058128,85.06280416666667,6.266666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
48300,28.4660425,82.23449976666667,6.7,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
48600,31.917205066666668,84.86712116666666,7.366666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
48900,27.7837915,81.67906446666666,6.966666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
49200,43.73330446666667,85.57954663333334,6.833333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
49500,31.0151335,82.83157286666666,7.0,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
49800,30.750992066666665,83.93818783333333,8.133333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
50100,28.740545933333333,80.65285709999999,7.566666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
50400,33.2876517,86.12547613333332,7.433333333333334,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
50700,32.04809793333333,84.99624913333334,7.7,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
51000,31.796909233333334,82.65481053333333,8.9,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
51300,30.2384788,81.67917176666667,7.566666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
51600,30.082896766666668,79.73269843333334,6.966666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
51900,27.46739416666667,82.28699733333333,7.533333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
52200,32.3917424,84.17587303333333,7.466666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
52500,35.25993883333333,85.48552686666667,8.3,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
52800,30.0304365,82.32269840000001,6.166666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
53100,29.40347693333333,82.26836870000001,6.933333333333334,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
53400,27.485613566666665,81.93721203333332,6.366666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
53700,24.9911328,82.24903556666666,6.666666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
54000,30.2282804,84.18103169999999,6.566666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
54300,32.35508903333333,87.11189756666666,6.533333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
54600,28.0679131,84.04522616666667,7.4,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
54900,28.060878300000002,84.51420436666668,7.333333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
55200,31.781546933333335,81.24959223333333,8.366666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
55500,31.034997633333333,82.90301106666668,7.2,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
55800,28.45700726666667,83.09367466666666,7.366666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
56100,29.411453766666668,81.51756853333333,7.133333333333334,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
56400,30.248926866666668,84.85861946666667,7.266666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
56700,34.42701913333334,87.4448955,7.533333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
57000,36.60177373333333,83.47887326666667,6.833333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
57300,32.4158333,87.04154393333333,7.433333333333334,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
57600,30.14352093333333,86.228563,7.266666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
57900,33.11607866666667,88.6038964,8.3,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
58200,32.495050533333334,88.88551826666666,6.766666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
58500,33.920162133333335,84.47660263333334,7.7,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
58800,30.5962434,86.1061701,7.166666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
59100,33.256415366666666,84.7546825,7.8,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
59400,36.39209016666667,84.74663869999999,7.666666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
59700,35.896977,83.45669413333333,7.233333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
60000,29.3503042,82.7785053,7.0,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
60300,26.66723186666667,81.55841149999999,6.966666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
60600,28.158336966666663,79.69092596666665,7.266666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
60900,27.242214966666666,81.94138766666667,7.4,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
61200,32.19533066666666,84.05085976666666,6.7,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
61500,34.60601856666666,87.99658726666667,5.733333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
61800,33.916502482758624,88.2529145862069,4.448275862068965,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
62100,34.37678567857143,84.09523810714286,3.0714285714285716,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
62400,32.237547862068965,85.43338806896551,3.8275862068965516,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
62700,28.4036111,85.24350526666667,6.1,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
63000,27.429936966666666,83.77500403333333,7.533333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
63300,33.08792233333333,85.67208876666668,7.666666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
63600,35.208178233333335,83.61700936666666,6.7,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
63900,35.122703200000004,84.31233046666667,7.0,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
64200,32.073573833333334,86.70274646666667,7.6,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
64500,23.677673933333335,81.9245034,7.333333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
64800,30.6629278,87.13897896666667,6.7,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
65100,38.6185836,86.703121,7.333333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
65400,35.08856876666667,84.67554176666665,8.033333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
65700,33.2284764,86.58258653333334,8.0,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
66000,30.099379533333334,83.66589233333335,8.033333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
66300,27.127727266666668,84.11615443333334,7.866666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
66600,28.39226996551724,84.216786,7.275862068965517,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
66900,27.0973101,82.29493916666667,8.1,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
67200,24.309207933333333,83.10150023333334,7.633333333333334,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
67500,21.9443386,79.7622222,7.3,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
67800,26.661324,82.10398693333333,8.2,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
68100,24.824345433333335,82.4094582,7.366666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
68400,24.520464933333336,81.85272973333333,7.566666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
68700,30.348466766666665,83.46686873333333,7.533333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
69000,25.63859066666667,81.48258893333333,7.033333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
69300,28.102044266666667,85.00878673333334,6.9,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
69600,27.856462166666667,83.88733006666666,6.766666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
69900,22.4098148,81.28671956666668,5.733333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
70200,25.337159666666665,83.55539560000001,6.933333333333334,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
70500,23.374562266666665,86.0327345,6.2,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
70800,28.534202766666667,84.03493619999999,7.533333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
71100,24.647881199999997,85.08073110000001,6.3,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
71400,24.806370633333334,82.35994609999999,6.733333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
71700,28.386210966666667,85.76640453333333,7.233333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
72000,29.131566866666667,85.4250289,6.633333333333334,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
72300,29.441209,85.24320089999999,6.866666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
72600,28.945482166666668,85.41198173333333,6.633333333333334,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
72900,28.260185200000002,83.4535582,5.766666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
73200,27.818036,86.29541256666667,6.866666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
73500,29.087407466666665,83.27210316666667,6.1,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
73800,29.4435842,84.18839576666666,6.533333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
74100,28.471087066666666,83.2766438,6.9,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
74400,27.603469333333333,85.30271246666666,7.466666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
74700,20.92410776666667,81.48726786666666,7.066666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
75000,31.36496513333333,86.50106183333334,5.833333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
75300,30.038582233333333,85.64522006666667,6.966666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
75600,32.90547373333333,86.4296404,7.2,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
75900,30.2499206,84.7178307,7.366666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
76200,28.878036333333334,82.94414766666667,7.0,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
76500,30.372732133333333,85.29475106666668,6.333333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
76800,29.763365733333334,84.5103487,7.133333333333334,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
